city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),populacao_estimada,rent amount (R$)
São Paulo,120,2,2,2,22,0,1,1400,11904961,3500
São Paulo,100,2,2,1,0,1,0,0,11904961,1970
São Paulo,240,4,5,4,6,0,0,1869,11904961,3500
São Paulo,360,7,6,6,0,1,0,0,11904961,5270
São Paulo,42,1,1,0,0,0,0,0,11904961,1100
São Paulo,33,1,1,1,14,1,1,600,11904961,2800
Rio de Janeiro,48,1,1,0,1,0,0,626,6730729,1020
Rio de Janeiro,36,1,1,0,5,1,0,350,6730729,1130
São Paulo,270,6,3,6,0,1,0,0,11904961,4500
Campinas,75,2,1,1,2,1,0,670,1187974,1200
Rio de Janeiro,46,2,1,0,3,0,0,270,6730729,1600
São Paulo,350,3,3,3,0,0,0,0,11904961,10000
Porto Alegre,131,3,3,1,10,1,1,1625,1388794,1750
Campinas,90,3,2,1,3,1,0,920,1187974,1300
Rio de Janeiro,26,1,1,0,4,0,0,390,6730729,1650
Rio de Janeiro,44,1,1,0,3,1,1,400,6730729,1100
São Paulo,70,2,2,0,0,1,0,0,11904961,1880
Belo Horizonte,40,1,1,0,0,0,0,0,2415872,900
Belo Horizonte,320,4,2,4,0,1,0,0,2415872,3200
São Paulo,213,2,2,3,0,1,0,0,11904961,5150
São Paulo,80,2,1,0,1,0,0,0,11904961,1100
Campinas,70,1,1,0,6,1,0,500,1187974,800
Rio de Janeiro,60,2,1,1,5,1,0,690,6730729,1500
São Paulo,270,4,4,4,5,1,0,4500,11904961,12850
Rio de Janeiro,70,2,1,1,3,1,0,800,6730729,1300
Porto Alegre,300,6,2,2,0,1,0,0,1388794,6000
São Paulo,220,4,5,3,14,1,1,2050,11904961,12000
Porto Alegre,64,2,2,2,7,1,0,450,1388794,1600
Rio de Janeiro,80,3,3,1,7,0,0,1100,6730729,1470
São Paulo,56,1,1,0,9,1,1,625,11904961,2500
São Paulo,161,4,3,2,1,1,0,1450,11904961,10000
São Paulo,35,1,1,0,0,1,0,350,11904961,1350
São Paulo,720,4,6,5,0,1,1,0,11904961,12750
São Paulo,280,4,5,4,6,0,0,2500,11904961,3200
Porto Alegre,96,3,2,0,2,1,0,408,1388794,2100
Campinas,236,3,4,4,10,1,0,1600,1187974,11000
São Paulo,81,3,2,1,4,1,0,204,11904961,1510
São Paulo,62,2,1,1,1,1,0,580,11904961,1650
Belo Horizonte,125,3,2,0,2,1,0,150,2415872,1200
São Paulo,37,1,1,1,6,1,1,890,11904961,4150
São Paulo,60,2,2,1,11,1,0,1680,11904961,4000
São Paulo,230,4,2,3,1,1,0,3600,11904961,5000
São Paulo,210,4,5,2,1,1,1,3800,11904961,8500
São Paulo,450,4,3,8,0,1,0,0,11904961,14000
São Paulo,234,3,5,4,0,1,1,0,11904961,3680
Belo Horizonte,135,4,3,2,2,0,0,868,2415872,2450
São Paulo,395,4,5,3,0,1,0,0,11904961,6000
Porto Alegre,92,2,2,1,2,1,0,450,1388794,1700
São Paulo,412,3,5,6,21,1,0,2000,11904961,3952
São Paulo,42,1,1,1,27,1,0,560,11904961,5300
São Paulo,33,1,1,0,12,0,1,385,11904961,3000
Porto Alegre,28,2,1,1,0,1,0,0,1388794,600
São Paulo,190,4,4,2,0,0,0,0,11904961,4450
São Paulo,165,4,3,3,10,1,1,2440,11904961,6300
Porto Alegre,44,1,1,0,5,1,0,355,1388794,1200
São Paulo,60,2,1,1,4,1,0,603,11904961,1275
São Paulo,380,3,3,2,1,1,0,3580,11904961,11000
Rio de Janeiro,73,2,1,0,4,1,0,375,6730729,830
Belo Horizonte,19,1,1,0,5,1,0,620,2415872,1100
Campinas,230,3,5,4,6,1,0,1800,1187974,7500
Porto Alegre,37,1,1,1,2,1,0,500,1388794,2500
São Paulo,124,3,2,3,7,1,0,1450,11904961,6600
Rio de Janeiro,115,3,2,1,8,1,1,1090,6730729,2680
Campinas,600,3,3,4,0,1,0,0,1187974,5500
Rio de Janeiro,700,5,5,4,0,1,1,1380,6730729,15000
Porto Alegre,35,1,1,0,1,1,0,100,1388794,815
Belo Horizonte,15,1,1,0,3,0,1,0,2415872,1100
Campinas,80,3,2,1,2,1,0,570,1187974,1450
Porto Alegre,48,1,1,0,4,1,0,200,1388794,700
Belo Horizonte,96,3,2,1,2,1,0,922,2415872,1500
São Paulo,150,3,2,1,7,1,1,1843,11904961,6715
Belo Horizonte,105,3,2,2,2,0,0,1681,2415872,3300
Belo Horizonte,204,4,4,4,22,0,1,2701,2415872,10000
Rio de Janeiro,125,3,1,2,11,1,0,1317,6730729,2600
Rio de Janeiro,50,2,1,0,3,0,0,490,6730729,2300
São Paulo,250,3,4,3,0,0,0,0,11904961,3740
São Paulo,300,3,4,3,7,1,1,3000,11904961,2000
São Paulo,80,2,1,1,0,1,0,0,11904961,1500
Rio de Janeiro,130,3,4,1,2,0,0,1200,6730729,1400
São Paulo,120,2,3,0,2,1,0,904,11904961,3300
São Paulo,540,3,3,4,9,1,0,6200,11904961,15000
São Paulo,23,1,1,0,23,1,0,392,11904961,2100
São Paulo,15,1,1,0,0,0,1,0,11904961,2500
São Paulo,72,1,2,2,19,1,0,900,11904961,4000
Rio de Janeiro,95,3,2,2,7,1,0,985,6730729,2300
São Paulo,330,4,5,4,13,1,0,2870,11904961,10000
São Paulo,75,2,2,2,7,0,1,1600,11904961,6600
São Paulo,53,1,1,1,4,1,0,690,11904961,4398
São Paulo,178,3,2,1,2,0,0,1200,11904961,1900
São Paulo,150,3,2,0,0,1,0,0,11904961,4000
São Paulo,50,2,1,1,4,1,0,520,11904961,1200
São Paulo,150,3,2,1,0,0,0,0,11904961,2500
Porto Alegre,25,1,1,0,0,1,1,286,1388794,984
São Paulo,210,3,4,4,13,0,0,3150,11904961,12000
Belo Horizonte,75,3,2,1,4,1,0,600,2415872,1500
Belo Horizonte,200,2,4,3,12,1,0,1897,2415872,15000
São Paulo,350,4,4,0,0,1,0,0,11904961,8000
Porto Alegre,49,2,1,1,7,1,0,360,1388794,1150
Porto Alegre,40,1,1,0,4,0,1,0,1388794,2000
São Paulo,45,1,1,1,2,0,1,1900,11904961,4200
São Paulo,46,1,1,1,8,0,1,900,11904961,7600
São Paulo,80,2,2,2,15,1,0,2000,11904961,11000
São Paulo,30,1,1,0,3,1,1,400,11904961,2850
São Paulo,80,2,2,2,0,1,0,50,11904961,2200
Rio de Janeiro,105,2,2,1,10,1,0,1780,6730729,1530
Belo Horizonte,105,3,2,2,7,1,0,1170,2415872,2000
São Paulo,114,3,1,0,0,1,0,0,11904961,2570
São Paulo,200,3,3,4,0,1,0,0,11904961,7000
Porto Alegre,120,3,3,2,5,1,0,800,1388794,3000
São Paulo,60,2,2,1,11,1,0,647,11904961,4000
São Paulo,90,2,1,1,1,1,0,1000,11904961,3000
Rio de Janeiro,53,2,1,0,3,0,0,535,6730729,1800
São Paulo,80,2,2,5,0,1,0,0,11904961,3000
Campinas,87,4,2,2,4,1,0,784,1187974,1600
Rio de Janeiro,110,3,1,1,1,1,0,557,6730729,5000
Belo Horizonte,113,4,2,1,3,1,0,1587,2415872,4000
São Paulo,170,3,2,2,5,0,0,2199,11904961,5000
São Paulo,150,3,2,0,1,0,0,700,11904961,3000
Porto Alegre,60,2,2,1,11,1,0,469,1388794,1500
Porto Alegre,43,1,1,0,4,0,1,290,1388794,2100
São Paulo,130,3,2,2,4,1,1,800,11904961,3500
São Paulo,69,3,2,0,7,1,1,650,11904961,1900
Campinas,306,3,2,2,0,1,0,0,1187974,2500
São Paulo,187,3,2,3,0,1,0,500,11904961,3500
São Paulo,385,3,4,3,0,1,0,0,11904961,9000
São Paulo,355,4,4,3,0,1,0,0,11904961,7300
Porto Alegre,90,2,1,1,2,1,0,405,1388794,1100
São Paulo,190,3,4,4,0,1,0,0,11904961,5000
Campinas,181,2,1,2,0,1,0,0,1187974,1400
São Paulo,350,3,5,4,13,1,0,4000,11904961,3490
Belo Horizonte,168,5,3,2,2,1,0,1443,2415872,2900
Rio de Janeiro,73,2,1,0,1,1,0,1600,6730729,2800
São Paulo,378,5,5,4,4,1,0,4000,11904961,3000
Campinas,60,2,1,1,0,1,0,0,1187974,1300
Belo Horizonte,362,4,5,0,19,0,0,4138,2415872,15000
São Paulo,90,3,2,0,0,1,0,0,11904961,1700
Rio de Janeiro,42,1,1,0,4,0,1,500,6730729,1973
Rio de Janeiro,56,2,1,1,18,1,0,568,6730729,1000
São Paulo,16,1,1,0,1,0,0,0,11904961,850
São Paulo,90,2,2,2,15,0,1,1400,11904961,10000
Belo Horizonte,67,1,1,0,13,1,0,375,2415872,850
São Paulo,488,4,3,3,0,1,0,14130,11904961,6400
Rio de Janeiro,30,1,1,0,10,1,0,850,6730729,1100
São Paulo,290,6,3,4,0,1,0,0,11904961,8000
São Paulo,266,3,3,4,10,1,0,4700,11904961,6400
Campinas,47,2,1,1,4,1,0,260,1187974,900
Rio de Janeiro,590,6,6,2,0,1,1,750,6730729,8000
São Paulo,900,4,9,8,1,1,0,0,11904961,15000
São Paulo,86,2,1,1,0,1,0,0,11904961,2200
São Paulo,290,3,3,2,0,1,1,0,11904961,15000
Porto Alegre,84,3,2,2,4,1,0,750,1388794,3300
São Paulo,160,3,1,2,0,1,0,0,11904961,5000
São Paulo,37,1,1,0,3,0,1,470,11904961,3500
Campinas,73,3,1,1,4,1,0,308,1187974,850
São Paulo,350,4,5,5,17,1,1,2400,11904961,15000
Rio de Janeiro,57,1,1,0,2,1,0,200,6730729,1100
Campinas,48,1,1,0,9,1,0,350,1187974,650
Rio de Janeiro,30,1,1,0,8,1,0,390,6730729,800
Campinas,198,6,3,4,0,1,0,0,1187974,2000
Porto Alegre,47,1,1,0,2,0,0,300,1388794,1000
Porto Alegre,60,2,1,1,3,1,0,250,1388794,800
São Paulo,230,3,3,0,9,1,1,1700,11904961,5000
Belo Horizonte,90,2,1,1,0,0,0,0,2415872,1520
Rio de Janeiro,129,3,2,1,8,1,1,1200,6730729,3255
São Paulo,240,4,4,4,22,1,0,1980,11904961,6672
Porto Alegre,55,1,1,0,14,1,0,700,1388794,1020
Porto Alegre,52,1,1,0,0,1,0,150,1388794,1200
São Paulo,250,3,4,3,8,1,0,1610,11904961,6000
São Paulo,200,3,2,2,19,1,0,2573,11904961,10000
Belo Horizonte,312,4,3,3,1,1,0,1498,2415872,2300
São Paulo,230,5,5,3,0,1,0,0,11904961,9900
São Paulo,72,2,2,2,9,1,0,750,11904961,2480
São Paulo,55,2,1,0,5,1,1,620,11904961,2400
Rio de Janeiro,72,2,2,1,2,0,1,914,6730729,3600
São Paulo,50,2,1,0,0,1,0,0,11904961,1200
São Paulo,17,1,1,0,1,1,0,0,11904961,2700
Belo Horizonte,160,3,3,2,4,1,0,150,2415872,2400
São Paulo,214,4,4,3,5,1,0,2638,11904961,6520
Rio de Janeiro,65,1,1,0,0,1,0,300,6730729,1800
São Paulo,136,3,2,1,10,0,1,1300,11904961,6500
Porto Alegre,70,2,2,1,6,1,0,440,1388794,1900
Porto Alegre,38,1,1,0,2,1,0,340,1388794,650
São Paulo,450,8,5,5,0,1,0,0,11904961,8000
Rio de Janeiro,67,2,1,1,2,1,0,1217,6730729,2200
São Paulo,20,1,1,0,1,0,0,0,11904961,1100
São Paulo,41,1,1,0,12,1,0,290,11904961,1530
